id;name;category;main_imagen;images;sizes;price;sku;updated_at;alt_text
49;Wood Wedding;Boda;https://pedidos.colorexlab.com/4062-large_default/wood-wedding.jpg;"https://pedidos.colorexlab.com/4062-home_default/wood-wedding.jpg
https://pedidos.colorexlab.com/4060-home_default/wood-wedding.jpg
https://pedidos.colorexlab.com/4061-home_default/wood-wedding.jpg
https://pedidos.colorexlab.com/4063-home_default/wood-wedding.jpg";30x30   35x25   40x30;;;;
50;Ante;Comunión;https://pedidos.colorexlab.com/3257-large_default/ante.jpg;"https://pedidos.colorexlab.com/3257-home_default/ante.jpg
https://pedidos.colorexlab.com/3258-home_default/ante.jpg
https://pedidos.colorexlab.com/3259-home_default/ante.jpg
https://pedidos.colorexlab.com/3260-home_default/ante.jpg";25x25   30x20   30x30   35x25;;;;
51;Artemisa;Comunión;https://pedidos.colorexlab.com/1690-large_default/artemisa.jpg;"https://pedidos.colorexlab.com/1690-home_default/artemisa.jpg
https://pedidos.colorexlab.com/4404-home_default/artemisa.jpg
https://pedidos.colorexlab.com/1688-home_default/artemisa.jpg
https://pedidos.colorexlab.com/4405-home_default/artemisa.jpg";30x30   35x25;;;;
52;Bohemian Comunión;Comunión;https://pedidos.colorexlab.com/4573-large_default/bohemian-comunion.jpg;"https://pedidos.colorexlab.com/4573-home_default/bohemian-comunion.jpg
https://pedidos.colorexlab.com/4574-home_default/bohemian-comunion.jpg
https://pedidos.colorexlab.com/2758-home_default/bohemian-comunion.jpg
https://pedidos.colorexlab.com/2761-home_default/bohemian-comunion.jpg";25x25   30x25   30x30   35x25   40x30;;;;
53;Colorex;Comunión;https://pedidos.colorexlab.com/4769-large_default/colorex.jpg;"https://pedidos.colorexlab.com/4769-home_default/colorex.jpg
https://pedidos.colorexlab.com/4768-home_default/colorex.jpg
https://pedidos.colorexlab.com/4770-home_default/colorex.jpg
https://pedidos.colorexlab.com/4771-home_default/colorex.jpg";25x25   30x20   25x30 V   30x25   30x30   25x35 V   35x25   35x35   40x30;;;;
54;Colorex Lino;Comunión;https://pedidos.colorexlab.com/4860-large_default/colorex-lino.jpg;"https://pedidos.colorexlab.com/4860-home_default/colorex-lino.jpg
https://pedidos.colorexlab.com/4861-home_default/colorex-lino.jpg
https://pedidos.colorexlab.com/4862-home_default/colorex-lino.jpg
https://pedidos.colorexlab.com/4863-home_default/colorex-lino.jpg";25x25   25x30 V   30x30   35x25;;;;
55;Colorex Ribbon;Comunión;https://pedidos.colorexlab.com/4790-large_default/colorex-ribbon.jpg;"https://pedidos.colorexlab.com/4790-home_default/colorex-ribbon.jpg
https://pedidos.colorexlab.com/4791-home_default/colorex-ribbon.jpg
https://pedidos.colorexlab.com/4792-home_default/colorex-ribbon.jpg
https://pedidos.colorexlab.com/4793-home_default/colorex-ribbon.jpg";25x25   25x30 V   30x25   30x30   35x25;;;;
56;Cotolino;Comunión;https://pedidos.colorexlab.com/3772-large_default/cotolino.jpg;"https://pedidos.colorexlab.com/3772-home_default/cotolino.jpg
https://pedidos.colorexlab.com/3774-home_default/cotolino.jpg
https://pedidos.colorexlab.com/3775-home_default/cotolino.jpg
https://pedidos.colorexlab.com/3778-home_default/cotolino.jpg";25x25   30x20   30x30   35x25;;;;
57;Crystal;Comunión;https://pedidos.colorexlab.com/4733-large_default/crystal.jpg;"https://pedidos.colorexlab.com/4733-home_default/crystal.jpg
https://pedidos.colorexlab.com/4732-home_default/crystal.jpg
https://pedidos.colorexlab.com/4734-home_default/crystal.jpg
https://pedidos.colorexlab.com/4735-home_default/crystal.jpg";25x25   30x30   35x25;;;;
58;Doily;Comunión;https://pedidos.colorexlab.com/4959-large_default/doily.jpg;"https://pedidos.colorexlab.com/4959-home_default/doily.jpg
https://pedidos.colorexlab.com/4960-home_default/doily.jpg
https://pedidos.colorexlab.com/4961-home_default/doily.jpg
https://pedidos.colorexlab.com/4962-home_default/doily.jpg";25x25   30x25   30x30   35x25;;;;
